param fixed_demand : A	B	C	D	E	F	G	H	I	J	K :=
239	2454.34	1594.99	2633.4	811.03	1357.63	2072.58	1675.08	460.68	955.93	8202.86	3344.42
240	2318.87	1491.58	2493.41	793.59	1274.87	1946.53	1576.05	417.11	884.22	7704.37	3064.98
241	2249.67	1438.97	2404.67	790.51	1211.93	1862.03	1495.4	396.74	844.63	7270.61	2887.17
242	2190.66	1389.97	2345.6	774.98	1160.58	1794.02	1449.41	381.69	803.63	6971.68	2754.93
243	2162.57	1367.52	2307.95	767.15	1160.88	1751.62	1431.93	371.55	794.6	6787.37	2697.59
244	2174.71	1380.11	2321.22	771.23	1169.52	1767.05	1429.19	368.64	804.5	6768.72	2704.4
245	2217.63	1415.34	2383.02	779.04	1182.42	1799.85	1451.69	375.42	800.73	6868.73	2750.91
246	2319.87	1504.64	2527.81	797.74	1250.68	1885.0	1506.9	398.56	846.94	7179.06	2893.72
247	2533.74	1678.57	2797.58	840.9	1408.95	2094.34	1650.69	448.81	939.63	7917.0	3207.44
248	2665.56	1780.53	2927.01	827.23	1505.28	2185.46	1729.26	471.11	1032.14	8565.67	3385.2
