param fixed_demand : A	B	C	D	E	F	G	H	I	J	K :=
224	2942.06	1946.97	3188.22	984.13	1617.9	2461.19	1931.65	553.54	1135.21	9452.6	3886.56
225	2881.23	1895.49	3102.67	938.67	1580.06	2390.24	1890.31	537.56	1111.44	9488.05	3775.79
226	2700.12	1780.69	2896.76	856.89	1475.27	2209.19	1754.92	493.1	1043.53	9052.13	3477.77
227	2483.96	1639.77	2657.29	824.45	1347.51	2034.55	1617.35	441.74	966.83	8484.75	3176.1
228	2332.99	1537.78	2482.62	736.99	1261.35	1907.67	1514.89	403.98	900.77	8086.23	2970.95
229	2219.36	1467.09	2366.27	699.92	1193.43	1830.81	1436.58	387.61	862.64	7801.34	2810.03
230	2171.98	1428.69	2285.06	698.78	1138.75	1790.28	1385.05	375.96	837.48	7599.59	2735.34
231	2148.53	1411.49	2242.05	681.34	1132.47	1768.79	1370.99	371.37	826.02	7472.18	2715.92
232	2150.4	1432.07	2266.74	651.71	1163.05	1793.74	1395.22	381.41	838.45	7487.4	2780.61
233	2207.6	1483.34	2368.46	673.44	1219.6	1896.49	1482.55	410.13	886.84	7720.08	2995.95
234	2329.47	1587.93	2559.79	730.67	1319.62	2043.87	1600.02	455.97	948.18	8004.77	3298.94
235	2343.66	1596.94	2583.42	734.21	1352.43	2061.96	1621.82	470.69	963.49	7962.54	3363.45
236	2323.32	1571.8	2564.6	709.2	1326.08	2031.05	1607.57	458.86	949.32	7835.49	3326.11
237	2278.64	1522.28	2506.7	696.22	1293.07	1974.37	1568.06	458.41	933.9	7602.17	3238.68
238	2204.62	1452.54	2398.1	677.97	1236.33	1871.48	1500.6	431.84	878.78	7330.45	3073.97
239	2085.66	1354.49	2235.91	690.66	1150.21	1755.84	1421.15	390.79	812.25	6971.86	2842.79
240	1974.05	1269.25	2120.57	676.37	1081.99	1651.93	1339.53	354.84	753.12	6561.05	2612.33
241	1917.66	1226.28	2048.07	674.11	1030.36	1582.69	1273.39	338.15	720.71	6205.26	2466.47
242	1865.98	1183.93	1996.22	660.24	986.49	1524.3	1233.51	325.2	685.7	5948.41	2353.18
243	1842.78	1165.4	1965.12	653.77	986.74	1489.27	1219.08	316.82	678.24	5796.15	2305.82
244	1856.16	1177.93	1979.57	658.33	995.54	1504.53	1218.96	315.01	687.72	5791.99	2316.04
245	1893.79	1208.41	2032.89	665.56	1007.26	1533.26	1238.94	320.99	685.44	5881.9	2357.45
246	1979.15	1282.75	2153.44	681.32	1064.1	1604.27	1285.12	340.26	723.96	6141.26	2476.66
247	2160.71	1429.56	2381.4	718.7	1197.27	1780.9	1407.05	382.64	802.44	6767.34	2742.56
248	2271.37	1514.91	2490.15	708.01	1277.72	1857.49	1473.08	401.37	879.56	7309.18	2891.82
249	2231.08	1483.79	2436.16	712.83	1253.93	1811.59	1467.24	388.38	869.49	7454.24	2854.85
